year,city,country,avg_temp
1911,Bratislava,Slovakia,10.33
1912,Bratislava,Slovakia,9.05
1913,Bratislava,Slovakia,9.61
1914,Bratislava,Slovakia,9.19
1915,Bratislava,Slovakia,9.64
1916,Bratislava,Slovakia,10.59
1917,Bratislava,Slovakia,9.49
1918,Bratislava,Slovakia,10.09
1919,Bratislava,Slovakia,9.31
1920,Bratislava,Slovakia,10.24
1921,Bratislava,Slovakia,10.32
1922,Bratislava,Slovakia,9.13
1923,Bratislava,Slovakia,10.30
1924,Bratislava,Slovakia,9.16
1925,Bratislava,Slovakia,9.95
1926,Bratislava,Slovakia,10.61
1927,Bratislava,Slovakia,10.29
1928,Bratislava,Slovakia,10.16
1929,Bratislava,Slovakia,8.97
1930,Bratislava,Slovakia,10.61
1931,Bratislava,Slovakia,9.44
1932,Bratislava,Slovakia,9.72
1933,Bratislava,Slovakia,8.91
1934,Bratislava,Slovakia,11.26
1935,Bratislava,Slovakia,9.93
1936,Bratislava,Slovakia,10.38
1937,Bratislava,Slovakia,10.42
1938,Bratislava,Slovakia,10.16
1939,Bratislava,Slovakia,10.28
1940,Bratislava,Slovakia,8.00
1941,Bratislava,Slovakia,8.89
1942,Bratislava,Slovakia,9.10
1943,Bratislava,Slovakia,10.42
1944,Bratislava,Slovakia,9.81
1945,Bratislava,Slovakia,10.41
1946,Bratislava,Slovakia,10.55
1947,Bratislava,Slovakia,10.27
1948,Bratislava,Slovakia,10.28
1949,Bratislava,Slovakia,10.57
1950,Bratislava,Slovakia,10.72
1951,Bratislava,Slovakia,11.04
1952,Bratislava,Slovakia,10.07
1953,Bratislava,Slovakia,10.35
1954,Bratislava,Slovakia,9.27
1955,Bratislava,Slovakia,9.59
1956,Bratislava,Slovakia,8.85
1957,Bratislava,Slovakia,10.33
1958,Bratislava,Slovakia,10.40
1959,Bratislava,Slovakia,10.38
1960,Bratislava,Slovakia,10.32
1961,Bratislava,Slovakia,10.77
1962,Bratislava,Slovakia,9.29
1963,Bratislava,Slovakia,9.33
1964,Bratislava,Slovakia,9.55
1965,Bratislava,Slovakia,9.18
1966,Bratislava,Slovakia,10.65
1967,Bratislava,Slovakia,10.56
1968,Bratislava,Slovakia,10.23
1969,Bratislava,Slovakia,9.66
1970,Bratislava,Slovakia,9.70
1971,Bratislava,Slovakia,10.12
1972,Bratislava,Slovakia,10.10
1973,Bratislava,Slovakia,9.94
1974,Bratislava,Slovakia,10.64
1975,Bratislava,Slovakia,10.65
1976,Bratislava,Slovakia,9.91
1977,Bratislava,Slovakia,10.47
1978,Bratislava,Slovakia,9.37
1979,Bratislava,Slovakia,10.29
1980,Bratislava,Slovakia,9.05
1981,Bratislava,Slovakia,10.36
1982,Bratislava,Slovakia,10.39
1983,Bratislava,Slovakia,10.90
1984,Bratislava,Slovakia,9.92
1985,Bratislava,Slovakia,9.29
1986,Bratislava,Slovakia,9.84
1987,Bratislava,Slovakia,9.56
1988,Bratislava,Slovakia,10.46
1989,Bratislava,Slovakia,10.86
1990,Bratislava,Slovakia,11.04
1991,Bratislava,Slovakia,9.90
1992,Bratislava,Slovakia,11.32
1993,Bratislava,Slovakia,10.28
1994,Bratislava,Slovakia,11.74
1995,Bratislava,Slovakia,10.54
1996,Bratislava,Slovakia,9.35
1997,Bratislava,Slovakia,10.18
1998,Bratislava,Slovakia,10.73
1999,Bratislava,Slovakia,10.77
2000,Bratislava,Slovakia,11.91
2001,Bratislava,Slovakia,10.76
2002,Bratislava,Slovakia,11.55
2003,Bratislava,Slovakia,10.94
2004,Bratislava,Slovakia,10.44
2005,Bratislava,Slovakia,10.18
2006,Bratislava,Slovakia,10.86
2007,Bratislava,Slovakia,11.88
2008,Bratislava,Slovakia,11.71
2009,Bratislava,Slovakia,11.42
2010,Bratislava,Slovakia,10.34
2011,Bratislava,Slovakia,11.10
2012,Bratislava,Slovakia,11.52
2013,Bratislava,Slovakia,12.27
